** File generated by WinEP - 5/10/2016 (5:23p) **

Station 	StrAV_SW
293.328003	0.741990
294.161591	0.726971
294.995178	0.740043
295.828766	0.732840
296.662354	0.734148
297.495941	0.704742
298.329529	0.720448
299.163116	0.717450
299.996704	0.713895
300.830322	0.684166
301.663940	0.699866
302.497559	0.690143
303.331207	0.688367
304.164825	0.662018
304.998444	0.671209
305.832062	0.665365
306.665680	0.664171
307.499298	0.632066
308.332916	0.648404
309.166534	0.615616
310.000153	0.632160
310.833771	0.628307
311.667389	0.618609
312.501007	0.586643
313.334625	0.604090
314.168243	0.597995
315.001862	0.590968
315.835480	0.558986
316.669098	0.575982
317.502716	0.569967
318.336334	0.560917
319.169952	0.556040
320.003571	0.544999
320.837219	0.539496
321.670898	0.535539
322.504547	0.531091
323.338196	0.520463
324.171844	0.513032
325.005493	0.510136
325.839142	0.504809
326.672791	0.494710
327.506439	0.486708
328.340088	0.485159
329.173737	0.479595
330.007385	0.472467
330.841034	0.466283
331.674683	0.458796
332.508331	0.451677
333.341980	0.444701
334.175629	0.439392
335.009277	0.431707
335.842926	0.424420
336.676575	0.419755
337.510223	0.410633
338.343872	0.408642
339.177521	0.405609
340.011169	0.403119
340.844879	0.374883
341.678558	0.391823
342.512238	0.358925
343.345917	0.375449
344.179596	0.370319
345.013275	0.369189
345.846954	0.367112
346.680634	0.358413
347.514313	0.362080
348.347992	0.346420
349.181671	0.323058
350.015350	0.345881
350.849030	0.333542
351.682709	0.342255
352.516388	0.325140
353.350067	0.334202
354.183746	0.321113
355.017426	0.320590
355.851105	0.317950
356.684784	0.312766
357.518463	0.319962
358.352142	0.283720
359.185822	0.305080
360.019531	0.302048
360.853241	0.303237
361.686951	0.303234
362.520660	0.275362
363.354370	0.293783
364.188080	0.290920
365.021790	0.290826
365.855499	0.284326
366.689209	0.283201
367.522919	0.282620
368.356628	0.265527
369.190338	0.291021
370.024048	0.286815
370.857758	0.280050
371.691467	0.275222
372.525177	0.282067
373.358887	0.285533
374.192596	0.278958
375.026306	0.271588
375.860016	0.247803
376.693726	0.254794
377.527435	0.278737
378.361176	0.270100
379.194885	0.266754
380.028595	0.273481
380.862335	0.278203
381.696075	0.271632
382.529816	0.265495
383.363586	0.271032
384.197327	0.279801
385.031067	0.275091
385.864807	0.268909
386.698547	0.266058
387.532288	0.274185
388.366028	0.280265
389.199768	0.273414
390.033508	0.266814
390.867249	0.273470
391.700989	0.283440
392.534729	0.279199
393.368469	0.273138
394.202209	0.270364
395.035950	0.278777
395.869690	0.285044
396.703430	0.280706
397.537170	0.274088
398.370911	0.280300
399.204651	0.290728
400.038422	0.286632
400.872192	0.281099
401.705963	0.279672
402.539734	0.287907
403.373535	0.294644
404.207306	0.291054
405.041077	0.284750
405.874847	0.292763
406.708618	0.304560
407.542389	0.300146
408.376160	0.295765
409.209930	0.293311
410.043701	0.303259
410.877472	0.310765
411.711243	0.304821
412.545013	0.298791
413.378784	0.275386
414.212555	0.284233
415.046326	0.315111
415.880096	0.309100
416.713867	0.306629
417.547668	0.303296
418.381439	0.308850
419.215210	0.315406
420.048981	0.320994
420.882813	0.325597
421.716614	0.329785
422.550415	0.322745
423.384216	0.314251
424.218048	0.315185
425.051849	0.321527
425.885651	0.327815
426.719452	0.335147
427.553253	0.340927
428.387054	0.310033
429.220856	0.308563
430.054657	0.330493
430.888458	0.332875
431.722260	0.337983
432.556061	0.344383
433.389862	0.350072
434.223663	0.355359
435.057465	0.323584
435.891266	0.319420
436.725067	0.342642
437.558868	0.343991
438.392700	0.351555
439.226501	0.362988
440.060303	0.353113
440.894165	0.349417
441.727997	0.360910
442.561829	0.347214
443.395660	0.368377
444.229523	0.355672
445.063354	0.373787
