** File generated by WinEP - 5/24/2016 (6:40p) **

Station 	Fy_R1   
198.265305	-19.437929
199.098633	-19.560635
199.931961	-19.680000
200.765289	-19.795477
201.598618	-19.910107
202.431946	-20.027805
203.265289	-20.141649
204.098618	-20.263527
204.931946	-20.363525
205.765274	-20.461079
206.598602	-20.563276
207.431931	-20.664686
208.265274	-20.778482
209.098602	-20.881189
209.931931	-20.968937
210.765259	-21.060602
211.598587	-21.162724
212.431931	-21.260160
213.265259	-21.335434
214.098587	-21.425562
214.931915	-21.520935
215.765259	-21.585506
216.598587	-21.667913
217.431915	-21.742531
218.265244	-21.805176
219.098572	-21.887667
219.931915	-21.938129
220.765244	-22.018038
221.598572	-22.059603
222.431900	-22.132729
223.265244	-22.175245
224.098572	-22.234892
224.931900	-22.293337
225.765228	-22.331375
226.598572	-22.405685
227.431900	-22.427525
228.265228	-22.491428
229.098557	-22.548380
229.931900	-22.567745
230.765228	-22.616425
231.598557	-22.672670
232.431900	-22.676388
233.265228	-22.713156
234.098557	-22.764462
234.931885	-22.785814
235.765228	-22.782684
236.598557	-22.812983
237.431885	-22.830154
238.265213	-22.853933
239.098557	-22.882778
239.931885	-22.903925
240.765213	-22.915901
241.598557	-22.876514
242.431885	-22.880823
243.265213	-22.884659
244.098541	-22.884306
244.931885	-22.876381
245.765213	-22.876499
246.598541	-22.872175
247.431870	-22.859634
248.265213	-22.857180
249.098541	-22.849108
249.931870	-22.833784
250.765213	-22.816969
251.598541	-22.802059
252.431870	-22.788115
253.265198	-22.821287
254.098541	-22.798803
254.931870	-22.765381
255.765198	-22.734764
256.598541	-22.707355
257.431854	-22.681948
258.265198	-22.663614
259.098541	-22.705950
259.931854	-22.673328
260.765198	-22.620182
261.598541	-22.580090
262.431854	-22.544796
263.265198	-22.565033
264.098541	-22.540846
264.931854	-22.517242
265.765198	-22.474272
266.598541	-22.417446
267.431854	-22.431953
268.265198	-22.393175
269.098541	-22.366133
269.931854	-22.330042
270.765198	-22.296337
271.598541	-22.291328
272.431854	-22.235592
273.265198	-22.209570
274.098541	-22.164480
274.931854	-22.173103
275.765198	-22.124416
276.598541	-22.079639
277.431854	-22.047049
278.265198	-22.042810
279.098541	-22.000696
279.931854	-21.958780
280.765198	-21.927853
281.598541	-21.918682
282.431854	-21.875673
283.265198	-21.838285
284.098541	-21.807470
284.931854	-21.796589
285.765198	-21.760046
286.598541	-21.723471
287.431854	-21.693502
288.265198	-21.672421
289.098541	-21.649565
289.931854	-21.615435
290.765198	-21.586905
291.598541	-21.537617
292.431854	-21.546333
293.265198	-21.514435
294.098541	-21.487757
294.931854	-21.447395
295.765198	-21.429241
296.598541	-21.423441
297.431854	-21.397966
298.265198	-21.367308
299.098541	-21.327759
299.931854	-21.297112
300.765198	-21.313080
301.598541	-21.295795
302.431854	-21.264832
303.265198	-21.231247
304.098541	-21.198847
304.931854	-21.175615
305.765198	-21.205309
306.598541	-21.184422
307.431854	-21.155437
308.265198	-21.126795
309.098541	-21.102747
309.931854	-21.083477
310.765198	-21.057016
311.598541	-21.079865
312.431854	-21.075783
313.265198	-21.050880
314.098541	-21.031437
314.931854	-21.026764
315.765198	-21.017883
