** File generated by WinEP - 5/27/2016 (6:33p) **

Station 	Fy_R1   
90.762878	166.828506
91.595749	166.310211
92.428619	165.775345
93.261490	165.242722
94.094368	164.709305
94.927254	164.168381
95.760132	163.622681
96.593018	163.072342
97.425911	162.518692
98.258797	161.969910
99.091690	161.419876
99.924591	160.867828
100.757492	160.314468
101.590393	159.762772
102.423294	159.209991
103.256203	158.663422
104.089111	158.120285
104.922028	157.580704
105.754944	157.040558
106.587860	156.502609
107.420776	155.971313
108.253700	155.450241
109.086632	154.931793
109.919556	154.417984
110.752487	153.914581
111.585419	153.407104
112.418358	152.916199
113.251297	152.425964
114.084236	151.944809
114.917183	151.468857
115.750130	151.006195
116.583076	150.550461
117.416023	150.109833
118.248978	149.668762
119.081932	149.235489
119.914894	148.811310
120.747856	148.395004
121.580818	147.996643
122.413780	147.608688
123.246750	147.228378
124.079720	146.853806
124.912689	146.490204
125.745667	146.134262
126.578644	145.801086
127.411621	145.456375
128.244598	145.145569
129.077591	144.832214
129.910568	144.528046
130.743561	144.239899
131.576553	143.963867
132.409546	143.696167
133.242538	143.437180
134.075531	143.188965
134.908524	142.942886
135.741531	142.720718
136.574524	142.508377
137.407532	142.294189
138.240540	142.103134
139.073547	141.921036
139.906570	141.735397
140.739578	141.575958
141.572586	141.420532
142.405609	141.275726
143.238632	141.137512
144.071655	141.013016
144.904678	140.889267
145.737701	140.762054
146.570724	140.682388
147.403748	140.595016
148.236786	140.493103
149.069824	140.450928
149.902847	140.364243
150.735886	140.332336
151.568924	140.294830
152.401962	140.233902
153.235016	140.191910
154.068054	140.163895
154.901108	140.142578
155.734146	140.129929
156.567200	140.134094
157.400253	140.153412
158.233307	140.159592
159.066360	140.182617
159.899414	140.228928
160.732468	140.272339
161.565536	140.259460
162.398590	140.297760
163.231659	140.382614
164.064728	140.389374
164.897797	140.478760
165.730865	140.516006
166.563934	140.583954
167.397003	140.654831
168.230072	140.714142
169.063156	140.809174
169.896225	140.903412
170.729309	140.978561
171.562393	141.063751
172.395477	141.149460
173.228561	141.252518
174.061646	141.350922
174.894730	141.466904
175.727814	141.569839
176.560898	141.670364
177.393997	141.771835
178.227097	141.874908
179.060181	141.986969
179.893280	142.097015
180.726379	142.210541
181.559479	142.324966
182.392578	142.439041
183.225677	142.561417
184.058777	142.687500
184.891891	142.819504
185.724991	142.941544
186.558105	143.058121
187.391205	143.179779
188.224319	143.302994
189.057434	143.428665
