** File generated by WinEP - 5/10/2016 (6:37p) **

Station 	Steer_SW
144.138794	-1.347956
144.972122	-1.339622
145.805466	-1.331261
146.638794	-1.322878
147.472122	-1.314479
148.305466	-1.306062
149.138794	-1.297600
149.972137	-1.289114
150.805466	-1.280570
151.638794	-1.272050
152.472137	-1.263476
153.305466	-1.254875
154.138809	-1.246246
154.972137	-1.237610
155.805481	-1.228955
156.638809	-1.220231
157.472153	-1.211522
158.305481	-1.202766
159.138824	-1.194019
159.972153	-1.185224
160.805527	-1.176391
161.638885	-1.167561
162.472244	-1.158679
163.305603	-1.149817
164.138977	-1.140880
164.972336	-1.131954
165.805695	-1.122998
166.639053	-1.114015
167.472427	-1.105018
168.305786	-1.095963
169.139145	-1.086941
169.972519	-1.077871
170.805878	-1.068778
171.639236	-1.059658
172.472610	-1.050517
173.305969	-1.041376
174.139328	-1.032178
174.972702	-1.022986
175.806061	-1.013745
176.639420	-1.004534
177.472794	-0.995289
178.306152	-0.985972
179.139511	-0.976687
179.972885	-0.967353
180.806290	-0.958032
181.639694	-0.948656
182.473099	-0.939280
183.306503	-0.929881
184.139893	-0.920461
184.973297	-0.911040
185.806702	-0.901578
186.640106	-0.892121
187.473511	-0.882632
188.306915	-0.873124
189.140320	-0.863617
189.973724	-0.854054
190.807129	-0.844528
191.640533	-0.834940
192.473938	-0.825382
193.307343	-0.815772
194.140747	-0.806160
194.974152	-0.796542
195.807556	-0.786887
196.640961	-0.777250
197.474365	-0.767561
198.307770	-0.757904
199.141174	-0.748209
199.974579	-0.738498
200.808014	-0.728786
201.641464	-0.719043
202.474915	-0.709330
203.308350	-0.699551
204.141800	-0.689803
204.975235	-0.680033
205.808685	-0.670252
206.642120	-0.660460
207.475571	-0.650632
208.309021	-0.640850
209.142456	-0.631009
209.975906	-0.621190
210.809341	-0.611341
211.642792	-0.601502
212.476227	-0.591655
213.309677	-0.581765
214.143112	-0.571912
214.976563	-0.562022
215.810013	-0.552155
216.643448	-0.542246
217.476898	-0.532350
218.310333	-0.522462
219.143784	-0.512532
219.977234	-0.502623
220.810715	-0.492691
221.644196	-0.482790
222.477676	-0.472853
223.311157	-0.462902
224.144638	-0.452983
224.978119	-0.443017
225.811600	-0.433085
226.645081	-0.423118
227.478561	-0.413182
228.312042	-0.403228
229.145523	-0.393257
229.979004	-0.383302
230.812485	-0.373341
231.645981	-0.363395
232.479462	-0.353418
233.312943	-0.343454
234.146423	-0.333495
234.979904	-0.323533
235.813385	-0.313571
236.646866	-0.303597
237.480347	-0.293656
238.313828	-0.283681
239.147308	-0.273722
239.980789	-0.263772
240.814316	-0.253821
241.647827	-0.243870
242.481354	-0.233914
243.314880	-0.223976
244.148392	-0.214025
244.981918	-0.204095
245.815430	-0.194173
246.648956	-0.184234
247.482468	-0.174312
248.315994	-0.164387
249.149506	-0.154489
249.983032	-0.146947
250.816544	-0.138621
251.650070	-0.130498
252.483582	-0.122508
253.317108	-0.112792
254.150620	-0.105654
254.984131	-0.096959
255.817657	-0.088779
256.651184	-0.079297
257.484680	-0.071649
258.318207	-0.060834
259.151733	-0.052232
259.985260	-0.044376
260.818817	-0.034346
261.652374	-0.024761
262.485931	-0.014780
263.319458	-0.007162
264.153015	0.003609
264.986572	0.014523
265.820129	0.025139
266.653687	0.035845
267.487244	0.046094
268.320801	0.057822
269.154358	0.067856
269.987915	0.078420
270.821472	0.091636
271.655029	0.103363
272.488586	0.113770
273.322144	0.125716
274.155701	0.140615
274.989227	0.151576
275.822784	0.166351
276.656342	0.178372
277.489899	0.192952
278.323456	0.211143
279.157013	0.227750
279.990570	0.244307
280.824158	0.261059
281.657745	0.277577
282.491333	0.293972
283.324951	0.311701
284.158539	0.330000
284.992126	0.347710
285.825714	0.365434
286.659302	0.383391
287.492889	0.401277
288.326477	0.419345
289.160065	0.437918
289.993652	0.456490
290.827240	0.474852
291.660828	0.493234
292.494415	0.511675
293.328003	0.530069
294.161591	0.548489
294.995178	0.566946
295.828766	0.585265
296.662354	0.603415
297.495941	0.621478
298.329529	0.639454
299.163116	0.657279
299.996704	0.675012
300.830322	0.692592
301.663940	0.710009
302.497559	0.727235
303.331207	0.744343
304.164825	0.761277
304.998444	0.778040
305.832062	0.794658
306.665680	0.811110
307.499298	0.827359
308.332916	0.843450
309.166534	0.859386
310.000153	0.875133
310.833771	0.890701
311.667389	0.906102
312.501007	0.921304
313.334625	0.936347
314.168243	0.951208
315.001862	0.965904
315.835480	0.980406
316.669098	0.994739
317.502716	1.008915
318.336334	1.022914
319.169952	1.036745
320.003571	1.050400
320.837219	1.063878
321.670898	1.077181
322.504547	1.090329
323.338196	1.103314
324.171844	1.116144
325.005493	1.128808
325.839142	1.141315
326.672791	1.153652
327.506439	1.165835
328.340088	1.177837
329.173737	1.189724
330.007385	1.201435
330.841034	1.213010
331.674683	1.224422
332.508331	1.235681
333.341980	1.246769
334.175629	1.257706
335.009277	1.268538
335.842926	1.279184
336.676575	1.289692
337.510223	1.300052
338.343872	1.310252
339.177521	1.320339
340.011169	1.330289
340.844879	1.340087
341.678558	1.349768
342.512238	1.359311
343.345917	1.368743
344.179596	1.378038
345.013275	1.387221
345.846954	1.396286
346.680634	1.405238
347.514313	1.414056
348.347992	1.422756
349.181671	1.431378
350.015350	1.439900
350.849030	1.448301
351.682709	1.456653
352.516388	1.464884
353.350067	1.473049
354.183746	1.481070
