2360, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2380, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2400, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2420, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2440, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2460, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2480, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2500, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2520, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2540, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2560, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2580, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2600, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2620, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2640, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2660, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2680, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2700, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2720, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2740, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2760, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2780, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2800, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2820, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2840, -0.225, -0.15, -0.075, 0, -0.075, -0.15, -0.225
2860, -0.225, -0.15, -0.075, 0, -0.075, -0.1499, -0.2249
2880, -0.225, -0.15, -0.075, 0, -0.0704, -0.1408, -0.2112
2900, -0.225, -0.15, -0.075, 0, -0.059, -0.118, -0.177
2920, -0.225, -0.15, -0.075, 0, -0.0418, -0.0837, -0.1255
