** File generated by WinEP - 5/11/2016 (9:36p) **

Station 	Steer_SW
212.764130	-0.587941
213.319733	-0.557750
213.875336	-0.526477
214.430939	-0.494156
214.986526	-0.460788
215.542130	-0.426354
216.097733	-0.390863
216.653336	-0.354286
217.208939	-0.316618
217.764542	-0.277799
218.320145	-0.237884
218.875748	-0.196826
219.431335	-0.154589
219.986938	-0.111208
220.542892	-0.066682
221.098846	-0.020969
221.654816	0.025944
222.210770	0.074013
222.766724	0.115434
223.322693	0.156422
223.878647	0.199724
224.434601	0.246422
224.990570	0.293513
225.546524	0.348508
226.102493	0.411304
226.658447	0.474654
227.214417	0.536765
227.770370	0.600715
228.326340	0.666349
228.882309	0.733323
229.438263	0.803168
229.994232	0.875808
230.550201	0.948868
231.106171	1.022289
231.662140	1.097363
232.218109	1.173924
232.774078	1.251954
233.330048	1.331761
233.886032	1.413123
234.442001	1.495298
234.997971	1.578401
235.553955	1.662843
236.109924	1.748507
236.665909	1.835316
237.221893	1.923351
237.777878	2.012481
238.333862	2.102536
238.889847	2.193611
239.445831	2.285868
240.001831	2.379218
240.558563	2.473697
241.115295	2.569366
241.672028	2.666214
242.228760	2.764220
242.785477	2.863441
243.342194	2.963896
243.898911	3.065693
244.455627	3.168596
245.012344	3.272516
245.569046	3.377342
246.125763	3.482987
246.682465	3.589414
247.239182	3.696596
247.795883	3.804500
248.352600	3.913049
248.909302	4.022219
249.466019	4.132000
250.022736	4.242380
250.579437	4.353362
251.136154	4.464941
251.692871	4.577094
252.249603	4.689790
252.806320	4.803011
253.363052	4.916741
253.919785	5.030960
254.476517	5.145647
255.033264	5.260777
255.590012	5.376321
256.146759	5.492255
256.703522	5.608557
257.260284	5.725201
257.817078	5.842178
258.373840	5.959464
258.930634	6.077047
259.487457	6.194907
260.044312	6.313034
260.601990	6.431414
261.159637	6.550040
261.717255	6.668899
262.274872	6.787984
262.832428	6.907286
263.390015	7.029665
263.947571	7.145672
264.505157	7.270552
265.062714	7.395334
265.620270	7.516141
266.177826	7.633342
266.735382	7.751369
267.292908	7.871017
267.850433	7.989560
268.407959	8.108151
268.965485	8.225817
269.523010	8.341912
270.080536	8.458214
270.638062	8.575815
271.195587	8.694086
271.753143	8.811829
272.310669	8.929326
272.868225	9.046445
273.425781	9.163226
273.983337	9.280538
274.540924	9.398551
275.098511	9.516803
275.656097	9.634912
276.213715	9.752989
276.771362	9.870984
277.329010	9.988915
277.886688	10.107042
278.444366	10.225297
279.002075	10.343461
279.559814	10.461475
280.117737	10.579422
280.676331	10.697291
281.234833	10.815096
281.793213	10.932912
282.351501	11.050673
282.909698	11.168300
283.467926	11.290892
284.026245	11.360647
284.584625	11.519896
285.143036	11.674139
285.701447	11.794772
286.259827	11.888783
286.818146	11.986178
287.376465	12.083924
