** File generated by WinEP - 5/10/2016 (5:20p) **

Station 	Fz_L1   
156.638809	4074.995850
157.472153	4074.717529
158.305481	4074.438477
159.138824	4074.154785
159.972153	4073.870117
160.805527	4073.588135
161.638885	4073.308350
162.472244	4073.028809
163.305603	4072.748047
164.138977	4072.471436
164.972336	4072.196289
165.805695	4071.919678
166.639053	4071.639160
167.472427	4071.358398
168.305786	4071.079346
169.139145	4070.797607
169.972519	4070.514160
170.805878	4070.229004
171.639236	4069.946045
172.472610	4069.661377
173.305969	4069.375000
174.139328	4069.088867
174.972702	4068.801758
175.806061	4068.515625
176.639420	4068.226807
177.472794	4067.938721
178.306152	4067.648682
179.139511	4067.358398
179.972885	4067.068115
180.806290	4066.776123
181.639694	4066.484131
182.473099	4066.191162
183.306503	4065.898682
184.139893	4065.604980
184.973297	4065.309570
185.806702	4065.014404
186.640106	4064.718262
187.473511	4064.423584
188.306915	4064.125977
189.140320	4063.828125
189.973724	4063.530029
190.807129	4063.232178
191.640533	4062.933594
192.473938	4062.632813
193.307343	4062.333984
194.140747	4062.034668
194.974152	4061.734375
195.807556	4061.431641
196.640961	4061.129883
197.474365	4060.829834
198.307770	4060.526855
199.141174	4060.223145
199.974579	4059.920410
200.808014	4059.618652
201.641464	4059.313232
202.474915	4059.006348
203.308350	4058.702393
204.141800	4058.397949
204.975235	4058.091553
205.808685	4057.783203
206.642120	4057.478271
207.475571	4057.172363
208.309021	4056.863281
209.142456	4056.554443
209.975906	4056.247314
210.809341	4055.941162
211.642792	4055.630615
212.476227	4055.321289
213.309677	4055.013428
214.143112	4054.704834
214.976563	4054.394043
215.810013	4054.082764
216.643448	4053.775146
217.476898	4053.465332
218.310333	4053.152832
219.143784	4052.840820
219.977234	4052.531250
220.810715	4052.219482
221.644196	4051.904785
222.477676	4051.593994
223.311157	4051.284180
224.144638	4050.973145
224.978119	4050.658936
225.811600	4050.347412
226.645081	4050.037109
227.478561	4049.722900
228.312042	4049.408447
229.145523	4049.095459
229.979004	4048.783447
230.812485	4048.467773
231.645981	4048.152100
232.479462	4047.839111
233.312943	4047.524414
234.146423	4047.208740
234.979904	4046.892090
235.813385	4046.577637
236.646866	4046.260742
237.480347	4045.943115
238.313828	4045.626221
239.147308	4045.308350
239.980789	4044.991211
240.814316	4044.670898
241.647827	4044.351563
242.481354	4044.031494
243.314880	4043.712891
244.148392	4043.394775
244.981918	4043.099609
245.815430	4042.873535
246.648956	4042.700928
247.482468	4042.563965
248.315994	4042.464111
249.149506	4042.390137
249.983032	4042.331787
250.816544	4042.278076
251.650070	4042.230957
252.483582	4042.200684
253.317108	4042.197021
254.150620	4042.217529
254.984131	4042.253906
255.817657	4042.301270
256.651184	4042.360840
257.484680	4042.422119
258.318207	4042.483887
259.151733	4042.538086
259.985260	4042.580322
260.818817	4042.613525
261.652374	4042.638428
262.485931	4042.656982
263.319458	4042.667969
264.153015	4042.676514
264.986572	4042.682861
265.820129	4042.679932
266.653687	4042.678467
267.487244	4042.672607
268.320801	4042.663574
269.154358	4042.643311
269.987915	4042.621338
270.821472	4042.579102
271.655029	4042.564941
272.488586	4042.577637
273.322144	4042.527100
274.155701	4042.385498
274.989227	4042.162598
275.822784	4041.881104
276.656342	4041.564697
277.489899	4041.231689
278.323456	4040.871338
279.157013	4040.458496
279.990570	4039.989258
280.824158	4039.468262
281.657745	4038.913330
282.491333	4038.340088
283.324951	4037.755127
284.158539	4037.152344
284.992126	4036.528809
285.825714	4035.886475
286.659302	4035.234863
287.492889	4034.576660
288.326477	4033.915527
289.160065	4033.254883
289.993652	4032.592285
290.827240	4031.927979
291.660828	4031.266357
292.494415	4030.609619
293.328003	4029.956543
294.161591	4029.310059
294.995178	4028.667725
295.828766	4028.028320
296.662354	4027.392822
297.495941	4026.761719
298.329529	4026.134766
299.163116	4025.513672
299.996704	4024.898193
300.830322	4024.282471
301.663940	4023.676514
302.497559	4023.079834
303.331207	4022.489258
304.164825	4021.906738
304.998444	4021.330078
305.832062	4020.759766
306.665680	4020.194092
307.499298	4019.636475
308.332916	4019.084473
309.166534	4018.539307
310.000153	4017.998779
310.833771	4017.464844
311.667389	4016.937012
312.501007	4016.414063
313.334625	4015.895752
314.168243	4015.383057
315.001862	4014.874512
315.835480	4014.371094
316.669098	4013.871338
317.502716	4013.377197
318.336334	4012.889160
319.169952	4012.405029
320.003571	4011.924805
320.837219	4011.444580
321.670898	4010.973389
322.504547	4010.510742
323.338196	4010.056885
324.171844	4009.608154
325.005493	4009.165039
325.839142	4008.727295
326.672791	4008.294434
327.506439	4007.866455
328.340088	4007.445068
329.173737	4007.030518
330.007385	4006.621094
330.841034	4006.219727
331.674683	4005.824463
332.508331	4005.435059
333.341980	4005.053711
334.175629	4004.679199
335.009277	4004.310791
335.842926	4003.949219
336.676575	4003.593262
337.510223	4003.245117
338.343872	4002.902100
339.177521	4002.564453
340.011169	4002.234131
340.844879	4001.900879
341.678558	4001.574951
342.512238	4001.260986
343.345917	4000.955566
344.179596	4000.653320
345.013275	4000.354248
345.846954	4000.061279
