** File generated by WinEP - 5/22/2016 (2:36p) **

Station 	Steer_SW
303.317322	-0.002015
304.150848	0.012853
304.984406	0.027005
305.817963	0.040600
306.651520	0.055463
307.485046	0.069405
308.318604	0.083960
309.152161	0.099612
309.985718	0.114715
310.819244	0.132075
311.652802	0.147438
312.486359	0.164297
313.319916	0.181646
314.153442	0.199850
314.987000	0.217934
315.820557	0.241628
316.654083	0.264079
317.487640	0.285571
318.321198	0.307687
319.154755	0.329899
319.988281	0.352086
320.821899	0.374517
321.655487	0.398201
322.489075	0.421250
323.322662	0.443710
324.156250	0.466538
324.989838	0.489216
325.823425	0.511845
326.657013	0.534531
327.490601	0.557345
328.324188	0.579697
329.157776	0.601741
329.991364	0.623787
330.824951	0.645567
331.658539	0.667087
332.492126	0.688430
333.325714	0.709512
334.159302	0.730152
334.992889	0.750492
335.826477	0.770583
336.660065	0.790283
337.493652	0.809656
338.327240	0.828710
339.160828	0.847376
339.994415	0.865694
340.828033	0.883644
341.661682	0.901242
342.495300	0.918447
343.328918	0.935329
344.162567	0.951877
344.996185	0.968069
345.829803	0.983934
346.663422	0.999459
347.497070	1.014641
348.330688	1.029520
349.164307	1.044093
349.997925	1.058384
350.831543	1.072352
351.665192	1.086019
352.498810	1.099388
353.332428	1.112475
354.166046	1.125299
354.999664	1.137863
355.833313	1.150139
356.666931	1.162130
357.500549	1.173872
358.334137	1.185379
359.167694	1.196642
360.001251	1.207648
360.834869	1.218432
361.668518	1.232928
362.502197	1.250211
363.335876	1.272825
364.169556	1.289928
365.003235	1.300110
365.836884	1.311121
366.670563	1.318837
367.504242	1.319752
368.337891	1.316208
369.171570	1.310840
370.005249	1.303329
370.838898	1.295491
371.672577	1.290090
372.506256	1.283972
373.339905	1.276231
374.173584	1.267798
375.007233	1.258893
375.840912	1.249227
376.674591	1.239647
377.508240	1.230407
378.341919	1.220269
379.175598	1.209244
380.009247	1.197775
380.842957	1.185774
381.676697	1.173187
382.510376	1.160329
383.344086	1.147165
384.177795	1.133356
385.011505	1.119078
385.845215	1.104577
386.678925	1.089829
387.512634	1.074808
388.346344	1.059701
389.180054	1.044467
390.013763	1.029048
390.847473	1.013527
391.681183	0.998024
392.514893	0.982479
393.348572	0.966901
394.182281	0.951350
395.015991	0.935828
395.849701	0.920285
396.683411	0.904776
397.517120	0.889322
398.350861	0.873896
399.184570	0.858541
400.018280	0.843274
400.852020	0.828079
401.685791	0.812955
402.519531	0.797962
403.353302	0.783077
404.187042	0.768312
405.020782	0.753711
405.854553	0.739264
406.688293	0.724970
407.522034	0.710872
408.355804	0.696953
409.189545	0.683227
410.023315	0.669721
410.857056	0.656429
411.690796	0.643352
412.524567	0.630524
413.358307	0.617951
414.192078	0.605598
415.025818	0.593505
415.859589	0.581683
416.693329	0.570122
417.527100	0.558839
418.360870	0.547826
419.194611	0.537108
420.028381	0.526685
420.862183	0.516535
421.695984	0.506663
422.529785	0.497077
423.363586	0.487813
424.197388	0.478841
425.031189	0.470167
425.864990	0.461789
426.698792	0.453709
427.532593	0.445902
428.366394	0.438392
429.200195	0.431169
430.033997	0.424240
430.867798	0.417598
431.701599	0.411220
432.535400	0.405136
433.369202	0.399309
434.203033	0.393747
435.036835	0.388492
435.870636	0.383500
436.704437	0.378761
437.538239	0.374286
