** File generated by WinEP - 6/02/2016 (7:39p) **

Station 	Fy_R1   
95.806633	-36.317062
96.639931	-35.788761
97.473228	-35.258526
98.306526	-34.727077
99.139832	-34.193947
99.973129	-33.663853
100.806435	-33.135170
101.639732	-32.607601
102.473038	-32.079254
103.306343	-31.551712
104.139641	-31.028135
104.972946	-30.512817
105.806259	-29.997646
106.639565	-29.486351
107.472870	-28.981340
108.306175	-28.479652
109.139488	-27.980343
109.972794	-27.497663
110.806107	-27.015882
111.639420	-26.537176
112.472733	-26.068110
113.306038	-25.601824
114.139351	-25.150785
114.972664	-24.695204
115.805977	-24.260761
116.639297	-23.828138
117.472610	-23.410891
118.305923	-22.996956
119.139236	-22.589193
119.972557	-22.187698
120.805870	-21.799166
121.639191	-21.425695
122.472511	-21.061642
123.305824	-20.705069
124.139145	-20.356514
124.972466	-20.016453
125.805779	-19.685503
126.639099	-19.374193
127.472420	-19.056133
128.305740	-18.766232
129.139069	-18.479670
129.972382	-18.196682
130.805710	-17.930796
131.639023	-17.676367
132.472351	-17.431234
133.305664	-17.193527
134.138992	-16.967787
134.972321	-16.745541
135.805634	-16.541256
136.638962	-16.348492
137.472290	-16.158842
138.305603	-15.988064
139.138931	-15.821942
139.972260	-15.658601
140.805588	-15.518745
141.638916	-15.377343
142.472229	-15.250584
143.305557	-15.129776
144.138885	-15.019874
144.972214	-14.920447
145.805542	-14.824826
146.638870	-14.728429
147.472183	-14.664771
148.305511	-14.605948
149.138840	-14.532109
149.972168	-14.505110
150.805496	-14.448762
151.638824	-14.421801
152.472153	-14.414747
153.305481	-14.380387
154.138809	-14.350021
154.972137	-14.331580
155.805466	-14.375569
156.638794	-14.398108
157.472122	-14.405898
158.305450	-14.436090
159.138779	-14.466499
159.972107	-14.496657
160.805435	-14.486229
161.638763	-14.542694
162.472092	-14.615565
163.305420	-14.650302
164.138763	-14.719930
164.972092	-14.789532
165.805420	-14.856272
166.638748	-14.933932
167.472076	-15.021235
168.305405	-15.093928
169.138733	-15.196713
169.972061	-15.281542
170.805405	-15.371832
171.638733	-15.474874
172.472061	-15.585876
173.305389	-15.677083
174.138718	-15.777980
174.972046	-15.883836
175.805374	-16.000200
176.638718	-16.118507
177.472046	-16.222235
178.305374	-16.332090
179.138702	-16.439894
179.972031	-16.555382
180.805374	-16.669983
181.638702	-16.787113
182.472031	-16.906172
183.305359	-17.023127
184.138702	-17.134209
184.972031	-17.242516
185.805359	-17.354328
186.638687	-17.462698
187.472031	-17.570908
188.305359	-17.678413
189.138687	-17.797466
189.972015	-17.886219
190.805359	-17.972908
191.638687	-18.064877
192.472015	-18.163874
193.305359	-18.224613
194.138687	-18.305094
194.972015	-18.368761
195.805344	-18.426270
196.638687	-18.475086
197.472015	-18.550200
198.305344	-18.550966
199.138687	-18.592180
199.972015	-18.638147
200.805359	-18.662073
201.638702	-18.680201
202.472046	-18.678770
203.305405	-18.681196
204.138748	-18.657326
204.972092	-18.624285
205.805435	-18.593887
206.638779	-18.540522
207.472137	-18.470724
208.305481	-18.424391
209.138824	-18.334192
209.972168	-18.257988
210.805511	-18.155560
211.638870	-18.037462
212.472214	-17.909517
213.305557	-17.777948
214.138901	-17.643244
214.972244	-17.479837
215.805603	-17.304079
216.638947	-17.123873
217.472290	-16.931578
218.305634	-16.729843
219.138992	-16.509335
219.972336	-16.289240
220.805710	-16.046329
221.639099	-15.795561
222.472473	-15.535758
223.305862	-15.255980
224.139236	-14.963909
224.972626	-14.659304
225.806000	-14.349949
226.639389	-14.018395
227.472763	-13.687684
228.306137	-13.335926
229.139526	-12.972035
229.972900	-12.600401
230.806290	-12.215448
231.639664	-11.814691
232.473053	-11.407632
233.306427	-10.993821
234.139816	-10.562528
234.973190	-10.119949
235.806580	-9.668087
236.639954	-9.208341
237.473343	-8.733448
238.306717	-8.255086
239.140106	-7.768684
239.973495	-7.264027
240.806915	-6.758020
241.640335	-6.234784
242.473755	-5.701070
243.307190	-5.165880
244.140610	-4.621960
244.974030	-4.066002
245.807465	-3.498941
246.640884	-2.931150
247.474304	-2.356084
248.307724	-1.769178
249.141159	-1.174602
249.974579	-0.573082
250.807999	0.037124
251.641434	0.650883
252.474854	1.270474
253.308273	1.897133
254.141708	2.537922
254.975128	3.178861
255.808548	3.824454
256.641968	4.476236
257.475403	5.133895
258.308838	5.796705
259.142242	6.464272
259.975677	7.137015
260.809143	7.813735
261.642609	8.494462
262.476074	9.179615
263.309540	9.869259
264.143005	10.558780
264.976471	11.252999
265.809937	11.956139
266.643402	12.657484
267.476868	13.359978
268.310333	14.069600
269.143829	14.780592
269.977295	15.495008
270.810760	16.212629
271.644226	16.931210
272.477692	17.652414
273.311157	18.376097
274.144623	19.101744
274.978088	19.829332
275.811554	20.558332
276.645020	21.289204
277.478485	22.021570
278.311951	22.754581
279.145416	23.489807
279.978882	24.226065
280.812408	24.962494
281.645905	25.701138
282.479431	26.439924
