** File generated by WinEP - 6/02/2016 (7:52p) **

Station 	Fy_R1   
88.318840	-51.150528
88.874390	-51.211685
89.429939	-51.278309
89.985489	-51.298584
90.541039	-51.368999
91.096588	-51.428135
91.652138	-51.490425
92.207687	-51.557140
92.763245	-51.606674
93.318794	-51.686005
93.874344	-51.715542
94.429893	-51.807812
94.985451	-51.844860
95.541000	-51.929100
96.096550	-51.973400
96.652100	-52.046795
97.207657	-52.107410
97.763206	-52.163429
98.318764	-52.242325
98.874313	-52.289101
99.429863	-52.369690
99.985420	-52.410351
100.540970	-52.501030
101.096519	-52.533867
101.652077	-52.609035
102.207626	-52.657635
102.763184	-52.718616
103.318733	-52.775738
103.874290	-52.824738
104.429840	-52.902412
104.985397	-52.932430
105.540947	-53.000458
106.096504	-53.040340
106.652054	-53.092548
107.207611	-53.159451
107.763161	-53.182171
108.318718	-53.245319
108.874275	-53.281784
109.429825	-53.318352
109.985382	-53.379341
110.540932	-53.407406
111.096489	-53.436516
111.652039	-53.493477
112.207596	-53.540176
112.763153	-53.539585
113.318703	-53.587917
113.874260	-53.657223
114.429810	-53.650593
114.985367	-53.659401
115.540924	-53.713303
116.096474	-53.769680
116.652031	-53.798241
117.207588	-53.787968
117.763138	-53.823566
118.318695	-53.852806
118.874252	-53.889427
119.429802	-53.931522
119.985359	-53.911339
120.540916	-53.921383
121.096466	-53.940048
121.652023	-53.967464
122.207581	-53.988342
122.763138	-54.020798
123.318687	-54.051361
123.874245	-54.064503
124.429802	-54.017395
124.985352	-54.018269
125.540909	-54.021278
126.096466	-54.021702
126.652023	-54.036377
127.207573	-54.049507
127.763130	-54.049362
128.318680	-54.042229
128.874237	-54.047997
129.429794	-54.052452
129.985352	-54.052349
130.540909	-54.057274
131.096466	-54.059471
131.652023	-54.053314
132.207581	-54.045570
132.763123	-54.043861
133.318680	-54.041538
133.874237	-54.035679
134.429794	-54.031010
134.985352	-54.024223
135.540909	-54.012932
136.096466	-54.001724
136.652023	-53.993488
137.207581	-53.984543
137.763123	-53.973225
138.318680	-53.961910
138.874237	-53.949490
139.429794	-53.953712
139.985352	-53.988556
140.540909	-53.984291
141.096466	-53.971836
141.652023	-53.957996
142.207581	-53.945065
142.763138	-53.932613
143.318680	-53.925068
143.874237	-53.912472
144.429794	-53.882225
144.985352	-53.857201
145.540909	-53.840149
146.096466	-53.827400
146.652023	-53.817238
147.207581	-53.817142
147.763138	-53.815773
148.318695	-53.856739
148.874252	-53.849216
149.429794	-53.836952
149.985352	-53.826504
150.540909	-53.818584
151.096466	-53.814632
151.652023	-53.811729
152.207581	-53.805515
152.763138	-53.788448
153.318695	-53.774422
153.874252	-53.765987
154.429810	-53.757538
154.985367	-53.740963
155.540924	-53.725266
156.096466	-53.712994
156.652023	-53.700901
157.207581	-53.701748
157.763138	-53.758240
158.318695	-53.779156
158.874252	-53.778671
159.429810	-53.769341
159.985367	-53.763599
160.540924	-53.760216
161.096481	-53.764492
161.652039	-53.776997
162.207596	-53.777897
162.763138	-53.770576
163.318695	-53.762577
163.874252	-53.758801
164.429810	-53.757942
164.985367	-53.760296
165.540924	-53.763832
166.096481	-53.760262
166.652039	-53.752163
167.207596	-53.745556
167.763153	-53.741856
168.318710	-53.739540
168.874268	-53.737541
169.429825	-53.734203
169.985382	-53.726566
170.540939	-53.716660
171.096481	-53.708111
171.652039	-53.700886
172.207596	-53.693428
172.763153	-53.684784
173.318710	-53.674145
173.874268	-53.660778
174.429825	-53.646164
174.985382	-53.632149
175.540939	-53.618259
176.096497	-53.603306
176.652054	-53.582130
177.207611	-53.606239
177.763168	-53.595963
178.318726	-53.573353
178.874268	-53.552937
179.429825	-53.534729
179.985382	-53.521385
180.540939	-53.514908
181.096497	-53.500648
181.652054	-53.471809
182.207611	-53.489483
182.763168	-53.485352
183.318726	-53.453167
183.874283	-53.425594
184.429840	-53.405941
184.985397	-53.385658
185.540955	-53.363022
186.096512	-53.356365
186.652054	-53.353779
187.207611	-53.346272
187.763168	-53.377911
188.318726	-53.375675
188.874283	-53.366825
189.429840	-53.352940
189.985397	-53.344566
190.540955	-53.345825
191.096512	-53.350506
191.652069	-53.365849
192.207626	-53.378609
192.763184	-53.402905
193.318741	-53.437077
193.874298	-53.466148
194.429855	-53.447872
194.985397	-53.474136
195.540955	-53.511360
196.096512	-53.547165
196.652069	-53.582188
197.207626	-53.571224
197.763184	-53.590126
198.318741	-53.624249
198.874298	-53.663376
199.429855	-53.694611
199.985413	-53.710922
200.541016	-53.649933
201.096603	-53.611168
201.652206	-53.599583
202.207809	-53.582088
202.763397	-53.588661
203.319000	-53.549622
203.874603	-53.454689
204.430206	-53.378685
204.985794	-53.273304
205.541397	-53.149387
206.097000	-53.002991
206.652588	-52.821564
207.208191	-52.614872
207.763794	-52.361000
208.319397	-52.091621
208.874985	-51.783730
209.430588	-51.440475
209.986191	-51.051010
210.541794	-50.621918
211.097382	-50.140213
211.652985	-49.612782
212.208588	-49.039124
212.764175	-48.407928
213.319778	-47.721405
213.875381	-46.981853
214.430984	-46.169567
214.986572	-45.300594
215.542175	-44.378807
216.097778	-43.382729
216.653366	-42.312542
217.208969	-41.176281
217.764572	-39.969963
218.320175	-38.710594
218.875763	-37.367386
219.431366	-35.949730
219.986969	-34.456779
220.542892	-32.884773
221.098831	-31.240639
221.654770	-29.528530
222.210709	-27.743786
222.766647	-25.886225
223.322586	-23.951412
223.878525	-21.942251
224.434464	-19.870033
224.990402	-17.714705
225.546341	-15.478179
226.102280	-13.164648
226.658218	-12.289082
227.214157	-12.296041
227.770096	-12.192679
228.326035	-11.721589
228.881973	-9.917821
229.437912	-7.352361
229.993851	-5.266810
230.549789	-3.565029
231.105728	-1.930114
231.661682	-0.059525
232.217621	2.152400
232.773560	4.876225
233.329498	7.834013
233.885452	10.642387
234.441391	13.445566
234.997345	16.417837
235.553284	19.630737
236.109238	23.083988
236.665176	26.786009
237.221130	30.623169
237.777084	34.496414
238.333038	38.499001
238.888992	42.700657
239.444946	47.092403
240.000900	51.651028
240.557556	56.341133
241.114197	61.099285
241.670837	65.884544
242.227463	70.716194
242.784088	75.592606
243.340714	80.485229
243.897339	85.380974
244.453949	90.275101
245.010559	95.145668
245.567169	100.000504
246.123779	104.863380
246.680389	109.737000
247.236984	114.621086
247.793579	119.514214
248.350174	124.415718
248.906784	129.321655
249.463379	134.236694
250.019974	139.171738
250.576569	144.117172
251.133163	149.072388
251.689774	154.034744
252.246368	158.997055
252.802979	163.956161
253.359573	168.911072
253.916183	173.861404
254.472809	178.800171
255.029419	183.724472
255.586044	188.632004
256.142670	193.519089
256.699310	198.384781
257.255951	203.229553
257.812592	208.052124
258.369232	212.848831
258.925903	217.624298
259.482574	222.378555
260.039307	227.109314
260.596771	231.815598
261.154175	236.510056
261.711609	241.184158
262.268982	245.827530
262.826355	250.444611
263.383728	255.041687
263.941071	259.628693
264.498413	264.211090
265.055725	268.769897
265.613037	273.305176
266.170349	277.816711
