炉石传说：【天天素材库】 第28期
up主: 天天卡牌
时间	发送日期		弹幕内容
00:04	11-07 18:46:12	天天卡牌，欢迎回来✧٩(ˊωˋ*)و✧	
02:13	11-07 18:46:32	同款滑稽	
02:28	11-07 18:46:49	敲铜锣！	
00:14	11-07 18:46:53	终于见到你	
00:00	11-07 18:47:11	不是停更了吗	
02:31	11-07 18:47:12	王光芒万丈！！	
05:26	11-07 18:47:46	爷大干你怎么在这里	
00:21	11-07 18:47:47	第一，，，，，，，，，然不是	
00:04	11-07 18:47:55	欢迎回来	
03:38	11-07 18:48:28	我舅说不能瞎交AOE的啊	
01:11	11-07 18:48:33	这泛音听的鸡皮疙瘩都起来了	
00:00	11-07 18:49:24	失踪人口回归	
00:20	11-07 18:49:53	这里的BGM av4193048	
02:54	11-07 18:49:58	好像哪不对。。。	
01:41	11-07 18:50:00	太精彩不想发弹幕	
00:10	11-07 18:50:32	欢迎回来	
04:16	11-07 18:51:41	- -这他么的白银之手的精锐啊	
00:12	11-07 18:52:00	前5W	
06:48	11-07 18:52:18	听说你们觉得傻龙影响公平性？╮(￣▽￣"")╭	
05:21	11-07 18:52:18	我台主播	
08:30	11-07 18:52:36	大快人心	
07:52	11-07 18:52:52	哈哈哈哈哈哈	
00:08	11-07 18:52:51	前5万	
07:17	11-07 18:52:53	这期瓦娘镜头很多啊	
02:16	11-07 18:52:47	二逼小黄毛	
06:27	11-07 18:53:24	穿寿衣	
07:14	11-07 18:53:27	灾难片集锦	
02:31	11-07 18:53:36	打了	
08:00	11-07 18:53:48	后面的滑稽	
02:11	11-07 18:53:59	加兹瑞啦23333333333333333	
02:34	11-07 18:53:56	打了几十次才上一次	
02:04	11-07 18:53:58	大家还记得维纶吗	
04:47	11-07 18:53:51	弹死你	
00:10	11-07 18:54:11	欢迎回归	
00:04	11-07 18:54:17	第一	
00:01	11-07 18:54:58	欢迎归来	
02:17	11-07 18:55:10	在现场	
00:07	11-07 18:55:57	第六十亿	
02:00	11-07 18:56:21	老哥 稳	
00:00	11-07 18:56:50	前！	
02:42	11-07 18:57:13	175也不对。还有只獒犬	
00:02	11-07 18:57:17	欢迎回来！！！！	
00:33	11-07 18:57:31	站位差评	
03:24	11-07 18:57:31	生命献祭	
00:05	11-07 18:57:52	前！	
04:44	11-07 18:58:51	你说的一换一	
07:18	11-07 18:58:58	一个法术就够了	
05:05	11-07 18:59:20	狂鼠	
00:32	11-07 18:59:50	我就是火焰的化身 领略火妖法的恐惧吧	
05:32	11-07 18:59:52	明天不播	
00:05	11-07 19:00:33	GTMDTTKP	
01:05	11-07 19:00:53	@王牌双狙暴风城	
03:17	11-07 19:00:56	卧槽	
06:45	11-07 19:01:10	内伤2333	
07:51	11-07 19:02:45	冰尼玛，天谴	
01:09	11-07 19:02:51	对面：好久没用过失传已久的双王牌枪毙双暴风城了	
05:08	11-07 19:02:50	哈哈哈哈哈	
00:00	11-07 19:04:10	前一亿	
03:23	11-07 19:04:05	你们错了，这是真 我方25	
00:05	11-07 19:04:27	前五万	
02:27	11-07 19:05:44	祖尔法拉克敲铜锣！	
00:00	11-07 19:05:49	前6万	
06:29	11-07 19:05:52	承包夜吹	
05:52	11-07 19:06:20	正片开始	
02:32	11-07 19:06:39	是176	
