【MAD】续 夏目朋友帐子ＥＤ - 爱的 【中国語Ver.】
up主: 冷场莫莫
时间	发送日期		弹幕内容
04:51	08-31 00:29:28	┭┮﹏┭┮ 	
04:56	08-31 00:29:51	结尾处斑夏党泪了┭┮﹏┭┮ 	
04:45	09-02 19:47:07	视频剪得很好	
00:25	11-04 01:04:46	AV222	
01:21	01-05 20:42:17	声音好配!好好听啊	
04:35	01-05 23:18:14	好温暖啊T^T	
01:01	02-17 00:04:54	不得不说还是高铃能把爱你这首歌唱好= =	
00:00	03-17 15:46:13	...我会说是把AV号改了才到这里来的吗	
00:36	03-23 14:48:35	好棒！	
00:48	04-16 20:03:46	唱的好棒！！	
01:51	04-25 04:25:46	本来是来考古的，却找到好东西了23333	
00:17	06-08 22:33:43	AV222	
00:04	07-11 20:12:44	改AV号+1 我在试最早的视频是哪个~	
00:08	08-01 13:46:56	av222	
00:44	08-01 13:47:33	QAQ	
00:30	08-21 21:55:00	同输222进来的	
02:44	11-22 15:12:34	Q..A..Q	
05:07	11-22 15:14:57	我爱你	
00:40	12-29 15:42:26	222过来的	
02:21	12-31 06:56:28	字幕君辛苦了！！	
01:06	02-23 10:31:44	表示在酷狗听过了	
00:04	04-08 23:35:39	av222..	
00:17	05-03 14:08:34	额，我就是要找这个，随便输222就有了，难道我真的很2	
00:07	05-11 15:46:46	2014.5.11挖坟	
00:29	07-15 17:08:33	2014  7.15	
01:52	07-21 16:48:50	在看的吱一声	
02:48	07-22 20:06:39	有一个小伙伴！	
01:57	07-22 20:07:01	吱	
03:07	07-22 20:07:19	另一个小伙伴说句话啊，我们版聊	
03:26	07-22 20:07:38	。。。。好好听	
03:58	07-22 20:08:11	UP主从2012就离开B站了= =	
04:22	07-22 20:08:50	↓字母君辛苦了	
03:59	07-22 20:10:41	不对2009年就离开了！	
00:53	07-23 23:03:38	是因为感动吗  唱的好棒！	
00:14	07-24 13:31:36	Hey	
00:16	07-24 13:31:47	随风凋零的花	
00:19	07-24 13:31:55	你还会记得吗	
00:22	07-24 13:32:06	就如泛黄的誓言落下	
00:27	07-24 13:32:16	Hey	
00:28	07-24 13:32:29	曾经说过的话	
00:31	07-24 13:32:37	你还会记得吗	
00:35	07-24 13:32:48	也许早已经被放下	
00:40	07-24 13:32:59	牵着我的手	
00:41	07-24 13:33:07	还快乐吗	
00:44	07-24 13:33:15	漫天风雪	
00:44	07-24 13:33:23	正待融化	
00:46	07-24 13:33:31	流过的泪	
00:48	07-24 13:33:40	是因为感动吗	
00:51	07-24 13:33:49	在爱情的旅途	
00:54	07-24 13:34:04	一起走过的路	
00:57	07-24 13:34:15	手心里残留着你的温度	
01:05	07-24 13:34:31	就让时间停驻	
01:08	07-24 13:34:40	不管再多的苦	
01:12	07-24 13:34:52	只属于我们的 幸福~	
01:17	07-24 13:35:00	在爱情的旅途	
01:19	07-24 13:35:20	↓以后再打字幕吧。。反正我已经背下来了= =	
01:19	07-26 02:47:43	未能走完的路	
01:22	07-26 02:47:52	我真心的祈求	
01:26	07-26 02:48:40	过多少春秋	
01:31	07-26 02:48:51	最后陪伴你的人	
01:34	07-26 02:48:57	不一定是我	
01:37	07-26 02:49:37	也曾拥有过	
01:39	07-26 02:49:45	回忆从不寂寞	
01:47	07-26 02:50:15	Hey	
01:48	07-26 02:50:34	渐渐消失的伤	
01:51	07-26 02:50:42	转身离开的你只剩背影在回放	
01:59	07-26 02:51:49	有时爱一个人没有未来，两个人却变得无奈	
02:06	07-26 02:52:00	如今的我	
02:08	07-26 02:52:06	都可以释怀	
02:11	07-26 02:52:26	在成长的旅途	
02:14	07-26 02:52:36	一起走过的路	
02:17	07-26 02:52:56	手心里残留的	
02:20	07-26 02:53:14	失去温度	
02:25	07-26 02:53:22	那一刻你的笑	
02:28	07-26 02:53:32	仍在心底缠绕	
02:31	07-26 02:53:52	永远化不开的记号	
02:36	07-26 02:54:22	在成长的旅途	
02:39	07-26 02:54:31	未能走完的路	
02:43	07-26 02:54:39	想念你的痛苦	
02:46	07-26 02:55:00	需要过多久	
02:51	07-26 02:55:11	最后牵过你的手	
