** File generated by WinEP - 5/11/2016 (9:24p) **

Station 	Fy_L1   
54.430759	-126.322609
54.986286	-126.278122
55.541813	-126.235474
56.097340	-126.183777
56.652866	-126.147842
57.208397	-126.068718
57.763924	-126.005646
58.319454	-125.936928
58.874985	-125.844673
59.430515	-125.786430
59.986050	-125.689026
60.541580	-125.603470
61.097115	-125.518509
61.652649	-125.409721
62.208183	-125.315926
62.763718	-125.216972
63.319252	-125.119469
63.874790	-125.000603
64.430328	-124.882507
64.985863	-124.773079
65.541397	-124.662285
66.096939	-124.543671
66.652473	-124.424164
67.208015	-124.301643
67.763557	-124.174675
68.319092	-124.043198
68.874634	-123.915184
69.430176	-123.783096
69.985718	-123.649940
70.541260	-123.514915
71.096802	-123.376816
71.652344	-123.233986
72.207886	-123.090935
72.763428	-122.945679
73.318970	-122.808563
73.874519	-122.670227
74.430061	-122.524841
74.985603	-122.372208
75.541145	-122.220390
76.096695	-122.065865
76.652237	-121.925308
77.207787	-121.777702
77.763329	-121.627365
78.318878	-121.473900
78.874420	-121.317902
79.429970	-121.174545
79.985519	-121.032921
80.541061	-120.883430
81.096611	-120.735130
81.652161	-120.578506
82.207703	-120.436661
82.763252	-120.293610
83.318802	-120.147385
83.874352	-119.998871
84.429901	-119.846016
84.985451	-119.701462
85.540993	-119.564865
86.096542	-119.428482
86.652092	-119.287346
87.207642	-119.146301
87.763191	-119.004684
88.318741	-118.860504
88.874290	-118.722466
89.429840	-118.591499
89.985390	-118.461166
90.540947	-118.332397
91.096497	-118.199234
91.652046	-118.068184
92.207596	-117.941254
92.763145	-117.814392
93.318695	-117.688728
93.874252	-117.561516
94.429802	-117.439026
94.985352	-117.319107
95.540901	-117.200783
96.096458	-117.084618
96.652008	-116.971710
97.207558	-116.856224
97.763115	-116.744240
98.318665	-116.635918
98.874214	-116.527092
99.429771	-116.418503
99.985321	-116.306381
100.540871	-116.197777
101.096428	-116.099663
101.651978	-116.006081
102.207535	-115.908478
102.763084	-115.811188
103.318634	-115.709549
103.874191	-115.611824
104.429741	-115.534264
104.985298	-115.449806
105.540848	-115.350746
106.096405	-115.264893
106.651955	-115.193901
107.207512	-115.105232
107.763062	-115.014854
108.318619	-114.954231
108.874168	-114.873779
109.429726	-114.791771
109.985283	-114.730484
110.540833	-114.637360
111.096390	-114.586761
111.651939	-114.512360
112.207497	-114.444717
112.763054	-114.386093
113.318604	-114.311630
113.874161	-114.264435
114.429710	-114.188118
114.985268	-114.146111
115.540825	-114.078133
116.096375	-114.029709
116.651932	-113.978050
117.207489	-113.917992
117.763039	-113.889244
118.318596	-113.814613
118.874146	-113.798866
119.429703	-113.745781
119.985260	-113.673943
120.540817	-113.676582
121.096367	-113.618912
121.651924	-113.562981
122.207481	-113.555275
122.763031	-113.517593
123.318588	-113.456764
123.874146	-113.445541
124.429695	-113.426346
124.985252	-113.367165
125.540810	-113.319588
126.096367	-113.337471
126.651917	-113.301346
127.207474	-113.253082
127.763031	-113.207809
128.318588	-113.227608
128.874146	-113.218948
129.429703	-113.181763
129.985245	-113.149071
130.540802	-113.117813
131.096359	-113.085297
131.651917	-113.114815
132.207474	-113.114899
132.763031	-113.090508
133.318588	-113.058792
133.874146	-113.029251
134.429688	-113.007149
134.985245	-112.990471
135.540802	-112.993279
136.096359	-112.990784
136.651917	-112.968803
137.207474	-112.971306
137.763031	-112.993271
138.318588	-112.986740
138.874146	-112.981682
139.429703	-112.985641
139.985245	-112.988861
140.540802	-112.991371
141.096359	-112.997383
141.651917	-113.000214
142.207474	-112.996086
142.763031	-112.997566
143.318588	-113.005310
143.874146	-113.012749
144.429703	-113.019096
144.985260	-113.026909
145.540802	-113.033127
146.096359	-113.037132
146.651917	-113.044884
147.207474	-113.056274
147.763031	-113.067116
148.318588	-113.011215
148.874146	-113.003212
149.429703	-113.012894
149.985260	-113.023544
150.540817	-113.039551
151.096375	-113.064262
151.651917	-113.082520
152.207474	-113.087166
152.763031	-113.100784
153.318588	-113.118919
153.874146	-113.129288
154.429703	-113.133675
154.985260	-113.149719
155.540817	-113.166847
156.096375	-113.150482
156.651932	-113.116753
157.207489	-113.127907
157.763046	-113.148262
158.318588	-113.173828
158.874146	-113.199066
159.429703	-113.219154
