** File generated by WinEP - 5/11/2016 (9:36p) **

Station 	Fz_L1   
107.763062	4133.530762
108.318619	4133.476074
108.874168	4133.419922
109.429726	4133.365234
109.985283	4133.311035
110.540833	4133.260254
111.096390	4133.214355
111.651939	4133.171387
112.207497	4133.129395
112.763054	4133.084961
113.318604	4133.040039
113.874161	4132.993164
114.429710	4132.948730
114.985268	4132.905273
115.540825	4132.865723
116.096375	4132.827637
116.651932	4132.792480
117.207489	4132.758301
117.763039	4132.726563
118.318596	4132.696289
118.874146	4132.665039
119.429703	4132.637207
119.985260	4132.607910
120.540817	4132.580078
121.096367	4132.554688
121.651924	4132.528809
122.207481	4132.504395
122.763031	4132.484375
123.318588	4132.463379
123.874146	4132.438477
124.429695	4132.414063
124.985252	4132.388184
125.540810	4132.361816
126.096367	4132.337891
126.651917	4132.317871
127.207474	4132.300293
127.763031	4132.283691
128.318588	4132.266602
128.874146	4132.252441
129.429703	4132.240723
129.985245	4132.230957
130.540802	4132.222656
131.096359	4132.213379
131.651917	4132.201172
132.207474	4132.190918
132.763031	4132.182617
133.318588	4132.173340
133.874146	4132.161133
134.429688	4132.146484
134.985245	4132.130859
135.540802	4132.117188
136.096359	4132.108887
136.651917	4132.104004
137.207474	4132.101074
137.763031	4132.103027
138.318588	4132.106445
138.874146	4132.108398
139.429703	4132.108398
139.985245	4132.107910
140.540802	4132.108398
141.096359	4132.109863
141.651917	4132.112793
142.207474	4132.116211
142.763031	4132.118652
143.318588	4132.121094
143.874146	4132.123535
144.429703	4132.127441
144.985260	4132.131836
145.540802	4132.136719
146.096359	4132.141602
146.651917	4132.146973
147.207474	4132.151855
147.763031	4132.157715
148.318588	4132.164063
148.874146	4132.166992
149.429703	4132.168457
149.985260	4132.171875
150.540817	4132.177246
151.096375	4132.181641
151.651917	4132.186035
152.207474	4132.190430
152.763031	4132.194824
153.318588	4132.200195
153.874146	4132.207520
154.429703	4132.215332
154.985260	4132.223145
155.540817	4132.231934
156.096375	4132.242188
156.651932	4132.249512
157.207489	4132.254883
157.763046	4132.260254
158.318588	4132.264648
158.874146	4132.270020
159.429703	4132.277344
159.985260	4132.286621
160.540817	4132.295898
161.096375	4132.304199
161.651932	4132.312500
162.207489	4132.320801
162.763046	4132.330078
163.318604	4132.336426
163.874161	4132.340332
164.429718	4132.343750
164.985275	4132.349609
165.540833	4132.357910
166.096375	4132.369141
166.651932	4132.380371
167.207489	4132.391113
167.763046	4132.400391
168.318604	4132.410156
168.874161	4132.415527
169.429718	4132.419434
169.985275	4132.425781
170.540833	4132.436035
171.096390	4132.448730
171.651947	4132.462891
172.207504	4132.475586
172.763062	4132.485352
173.318619	4132.490723
173.874176	4132.495117
174.429718	4132.502441
174.985275	4132.513672
175.540833	4132.527832
176.096390	4132.541016
176.651947	4132.549316
177.207504	4132.555176
177.763062	4132.561035
178.318619	4132.564941
178.874176	4132.569336
179.429733	4132.574219
179.985291	4132.579102
180.540848	4132.581543
181.096405	4132.583008
181.651962	4132.583984
182.207520	4132.583008
182.763062	4132.579590
183.318619	4132.573730
183.874176	4132.563965
184.429733	4132.549805
184.985291	4132.535156
185.540848	4132.519043
186.096405	4132.497559
186.651962	4132.472168
187.207520	4132.443359
187.763077	4132.407715
188.318634	4132.369629
188.874191	4132.325684
189.429749	4132.276855
